Year,Week,Accumulated sales volume in fpk / Supplier,Accumulated sales volume in fpk / Wholesaler,Accumulated sales volume in fpk / Retailer, Accumulated sales volume in fpk / total, Sales per week in fpk / Supplier,Sales per week in fpk / Wholesaler,Sales per week in fpk / Retailer,Inventory in dpk / Wholesaler,Inventory in dpk / Retailer,rekkevidde / Wholesaler,rekkevidde / Retailer
2015,15,3780,-,-,-,3780,-,-,270,-,-,-
2015,16,15372,56,-,19655,11592,56,-,1094,4,273.5,-
2015,17,33756,5362,29,39310,18384,5306,29,2028,381,5.4,183.9
2015,18,56356,10514,612,58964,22600,5152,583,3274,707,8.9,17.0
2015,19,77200,41028,1610,78619,20844,30514,998,2584,2816,1.2,39.5
2015,20,96568,54868,5985,98274,19368,13840,4375,2979,3492,3.0,11.2
2015,21,105262,70366,9786,117929,8694,15498,3801,2493,4327,2.3,15.9
2015,22,112178,81026,12769,137584,6916,10660,2983,2225,4876,2.9,22.9
2015,23,117904,91106,16271,157238,5726,10080,3502,1914,5345,2.7,21.4
2015,24,130364,100766,20454,176893,12460,9660,4183,2114,5737,3.1,19.2
2015,25,139380,110720,26068,196548,9016,9954,5614,2047,6047,2.9,15.1
2015,26,143538,125910,32832,216203,4158,15190,6764,1259,6648,1.2,13.8
2015,27,151476,132224,38537,235858,7938,6314,5705,1375,6692,3.0,16.4
2015,28,156132,136676,45996,255512,4656,4452,7459,1390,6477,4.4,12.2
2015,29,167427,141974,53775,275167,11295,5298,7779,1818,6300,4.8,11.3
2015,30,183731,147308,61917,294822,16304,5334,8142,2602,6099,6.8,10.5
2015,31,203884,156715,70513,314477,20154,9406,8596,3369,6157,5.0,10.0
2015,32,231210,177780,79188,334132,27326,21065,8675,3816,7042,2.5,11.4
2015,33,250403,212379,93861,353786,19193,34599,14673,2716,8466,1.1,8.1
2015,34,269612,239919,111209,373441,19209,27540,17348,2121,9194,1.1,7.4
2015,35,288985,254631,131540,393096,19373,14712,20331,2454,8792,2.3,6.1
2015,36,315764,268237,146751,412751,26779,13606,15211,3395,8678,3.5,8.0
2015,37,346884,284126,162865,432406,31120,15888,16114,4483,8661,3.9,7.5
2015,38,368383,333147,180911,882441,21499,49022,18046,2517,10874,0.7,8.4
2015,39,384179,356387,199696,940262,15796,23239,18785,1985,11192,1.2,8.3
2015,40,395413,371145,216596,983154,11234,14758,16900,1733,11039,1.6,9.1
2015,41,410448,381017,232084,1026749,15034,9872,15488,2102,10638,3.0,9.6
2015,42,422534,395169,246986,1069689,12086,14152,14902,1955,10585,1.9,9.9
2015,43,449704,406912,261842,1111458,27170,11742,14856,3057,10362,3.6,9.8
2015,44,499978,419756,275552,1194286,50274,12844,13710,5730,10300,6.2,10.5
2015,45,528803,438798,289278,1251879,28824,19042,13726,6429,10680,4.7,10.9
2015,46,540833,504704,303985,1342822,12030,65906,14707,2581,14337,0.5,13.6
2015,47,549331,519968,317703,1388002,8498,15264,13718,2097,14448,1.9,14.7
2015,48,557017,533066,330690,1419773,7686,13097,12987,1711,14455,1.8,15.6
2015,49,562981,540084,343809,1442874,5964,7018,13119,1635,14020,3.3,15.0
2015,50,574595,548302,357640,1464537,11614,8218,13831,1878,13619,3.2,13.8
2015,51,586313,555224,370299,1486836,11718,6922,12659,2221,13209,4.5,14.6
2015,52,594913,564552,402125,1552589,8600,9328,31826,2169,11602,3.3,5.1
2016,01,609681,573408,409870,1592930,4768,8856,7745,2591,11681,4.1,21.1
2016,02,648985,581456,420475,1596916,39303,8048,10605,4823,11499,8.4,15.2
2016,03,687522,599999,433214,1607735,38538,18542,12739,6252,11913,4.7,13.1
2016,04,737556,668862,447659,1614796,50033,68863,14445,4907,15800,1.0,15.3
2016,05,771375,700605,463444,1629943,33819,31743,15785,5055,16940,2.2,15.0
2016,06,815353,726582,479459,1646538,43978,25977,16015,6341,17652,3.4,15.4
2016,07,848553,773604,496999,2117156,33200,47022,17540,5354,19758,1.6,15.8
2016,08,868652,824113,518930,2125695,20098,50508,21931,3181,21799,0.9,13.9
2016,09,877752,843231,543811,2130752,9100,19118,24881,2466,21387,1.8,12.0
2016,10,881532,850649,555045,2139326,3780,7418,11234,2206,21115,4.2,26.3
2016,11,886320,859511,566868,2150747,4788,8862,11823,1915,20903,3.0,24.8
2016,12,888588,862353,582463,2157404,2268,2842,15595,1874,19992,9.2,17.9
2016,13,888714,867379,592894,2165570,126,5026,10431,1524,19606,4.2,26.3
2016,14,890982,870585,605219,2175110,2268,3206,12325,1457,18955,6.4,21.5
2016,15,891360,873917,618777,2183530,378,3332,13558,1246,18224,5.2,18.8
2016,16,896694,877809,632795,2192298,5334,3892,14018,1349,17501,4.9,17.5
2016,17,926178,882645,647288,2204343,29484,4836,14493,3109,16811,9.0,16.2
